Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2022-06-12 12:12:02 UTC,Staking Income,XTZ,0.15702,USD,1.74,0.27,0.27,0,
2022-06-11 06:46:40 UTC,Receive,ADA,0.087505,USD,0.59,0.05,0.05,0,Received 0.087505 ADA from Coinbase Rewards
2022-06-10 22:55:29 UTC,Staking Income,XTZ,0.154123,USD,2.04,0.31,0.31,0,
2022-06-10 13:26:15 UTC,Staking Income,XTZ,0.157448,USD,2.08,0.33,0.33,0,
2022-06-10 01:34:52 UTC,Staking Income,XTZ,0.082179,USD,2.29,0.19,0.19,0,
2022-06-09 00:59:19 UTC,Staking Income,XTZ,0.158122,USD,2.08,0.33,0.33,0,
2022-06-07 15:00:54 UTC,Staking Income,XTZ,0.15925,USD,2.11,0.34,0.34,0,
2022-06-07 04:17:20 UTC,Staking Income,XTZ,0.159948,USD,2.09,0.33,0.33,0,
2022-06-06 04:15:18 UTC,Receive,ADA,0.084099,USD,0.63,0.05,0.05,0,Received 0.084099 ADA from Coinbase Rewards
2022-06-03 22:30:17 UTC,Staking Income,ATOM,0.014364,USD,9.24,0.13,0.13,0,
2022-06-02 06:09:55 UTC,Staking Income,XTZ,0.151205,USD,1.90,0.29,0.29,0,
2022-06-01 22:06:48 UTC,Staking Income,XTZ,0.153982,USD,1.94,0.30,0.30,0,
2022-06-01 14:57:55 UTC,Staking Income,XTZ,0.142262,USD,2.05,0.29,0.29,0,
2022-05-31 20:10:14 UTC,Receive,ADA,0.088162,USD,0.60,0.05,0.05,0,Received 0.088162 ADA from Coinbase Rewards
2022-05-28 13:15:42 UTC,Staking Income,XTZ,0.158166,USD,1.94,0.31,0.31,0,
2022-05-27 20:07:14 UTC,Receive,ADA,0.08603,USD,0.46,0.04,0.04,0,Received 0.08603 ADA from Coinbase Rewards
2022-05-27 19:50:26 UTC,Staking Income,ATOM,0.029755,USD,9.29,0.28,0.28,0,
2022-05-26 16:23:03 UTC,Staking Income,XTZ,0.159027,USD,1.97,0.31,0.31,0,
